parcelid,logerror,transactiondate,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomflag,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
10854446,0.3825,"Sunday, January 03, 2016",,,,2,FALSE,2,,7,2,,,1417,1417,,,,,6037,,2,,,,2,34164672,-118477992,8279,,,,,,100,261,LARE9,60371414,12447,3101,51906,96426,0,,,,1,,,1954,,,55396,105954,2015,50558,1443.6899,,,6.03714E+13
11672170,-0.0161,"Sunday, January 03, 2016",1,,,4,TRUE,5,,1,4,,,3080,3080,,,,,6037,,4,,,,2,34072220,-118547320,7052,,,,,,100,261,LAR1,60372626.01,12447,3101,19810,96120,0,,,,1,,,1995,,,559040,1090127,2015,531087,13428.9404,,,6.03726E+13
10949761,0.0344,"Sunday, January 03, 2016",,,,2,FALSE,3,,7,2,,,1484,1484,,,,,6037,,2,,,,7,34189804,-118339184,8214,,,,,,100,261,BUR1,60373110,396054,3101,,96437,0,,,,1,,,1944,,,29551,70119,2015,40568,832.35,,,6.03731E+13
14665244,0.0816,"Sunday, January 03, 2016",,,,2,FALSE,2,,,2,,,1249,1249,,,,,6059,,2,,,,,33670900,-117844000,,,,,,,1,266,,60590626.1,52650,1286,273096,96947,0,,,,,,,2005,,,398747,601000,2015,202253,6876.7002,,,6.05906E+13
14148540,-0.045,"Sunday, January 03, 2016",,,,2,FALSE,2,,,2,,,1367,1367,,,,,6059,1,2,2,400,,,33913332,-117914144,7626,,,,,,122,261,,60590015.03,17150,1286,,97035,6,,,,,,,1955,1,,78565,254817,2015,176252,3192.28,,,6.059E+13
14057104,0.002,"Sunday, January 03, 2016",5,,,2,FALSE,3,,,2,,,1302,1302,,,,,6059,1,2,2,471,,6,33676788,-117950592,6000,,,,,,122,261,,60590992.16,25218,1286,,96964,5,,,,,,,1964,1,,89850,345023,2015,255173,4036.3201,,,6.0591E+13
17296797,0.044,"Sunday, January 03, 2016",,,,2.5,FALSE,3,,,2.5,,981,1558,1558,,,981,,6111,1,2,2,0,,,34176360,-118757592,5662,,,,,,1128,265,,61110074.05,53655,2061,,96393,6,,1,,,,,1979,2,,168000,480000,2015,312000,6383.7402,,,6.11101E+13
12524288,-0.0419,"Sunday, January 03, 2016",,,,1,FALSE,1,,7,1,,,597,597,,,,,6037,,1,,,,2,33776400,-118123000,147471,1,,,,1,010E,266,LBR4R,60375748,46298,3101,274961,96238,0,,,,1,,,1970,,,56233,70316,2015,14083,913.17,,,6.03757E+13
14091502,-0.002,"Sunday, January 03, 2016",,,,2,FALSE,3,,,2,,,1321,1321,,,,,6059,,2,2,462,,,33770148,-118021280,7200,,,,,,122,261,,60590999.02,34780,1286,,96990,6,,,,,,,1957,1,,75119,253138,2015,178019,3329.1399,,,6.0591E+13
10815909,0.01,"Sunday, January 03, 2016",1,,,3,FALSE,3,,4,3,,,1727,1727,,,,,6037,,3,,,,2,34164084,-118528592,6171,,,,,,100,261,LAR1,60371395.02,12447,3101,47950,96379,0,,,,1,,,1950,,,108985,416279,2015,307294,5194,,,6.03714E+13
12453853,-0.0387,"Sunday, January 03, 2016",,,,1,FALSE,2,,7,1,,,840,840,,,,,6037,,1,,,,7,33858592,-118188672,4444,,,,,,100,261,LBR1N,60375703.03,46298,3101,276476,96239,0,,,,1,,,1927,,,122952,260249,2015,137297,3211.3101,,,6.03757E+13
14253461,0.0218,"Sunday, January 03, 2016",13,,,2,FALSE,2,,,2,,,1476,1476,,,,,6059,1,2,2,437,,,33754728,-117838936,4275,,,,,,122,261,,60590754.03,47568,1286,,97001,5,,,,,,,1976,1,,109293,258960,2015,149667,3090.72,,,6.05908E+13
14001034,0.0149,"Sunday, January 03, 2016",,,,2,FALSE,4,,,2,,,1430,1430,,,,,6059,1,2,2,441,,,33784648,-118025456,6000,,,,,,122,261,,60591100.03,24832,1286,,97052,7,,,,,,,1962,1,,92991,212077,2015,119086,3020.24,,,6.05911E+13
11458863,0.1151,"Sunday, January 03, 2016",,,,4,TRUE,3,,4,4,,,3749,3749,,,,,6037,,4,,,TRUE,2,33969828,-118396648,10926,,,1,,,104,261,LAR1,60372770.01,12447,3101,7877,96026,0,,,,1,,,1952,,,319449,1194279,2015,874830,14747.9805,,,6.03728E+13
13957980,-0.1696,"Sunday, January 03, 2016",,,,2.5,FALSE,2,,,2.5,,,1213,1213,,,,,6059,,2,2,401,,,33773336,-117921600,1665,,,,,,122,261,,60590885.01,24832,1286,,97050,0,,1,,,,,1998,,,157171,335790,2015,178619,4269.8999,,,6.05909E+13
12752047,-0.044,"Sunday, January 03, 2016",1,,,4,TRUE,3,,7,4,,,1875,1875,,,,,6037,,4,,,,2,33901560,-118009608,8247,,,,,,100,261,LMR1,60375038.02,5465,3101,,96190,0,,,,1,,,1955,,,154186,239456,2015,85270,3249.3701,,,6.0375E+13
11188425,-0.0747,"Sunday, January 03, 2016",1,,,2,FALSE,2,,4,2,,,1302,1302,,,,,6037,,2,,,,2,34598116,-118154872,6676,,,,,,100,261,PDRPD6.6U,60379102.08,40227,3101,,97329,0,,,,1,,,1986,,,80600,174000,2015,93400,3895.76,,,6.03791E+13
14646051,0.008,"Sunday, January 03, 2016",,,,2.5,FALSE,2,,,2.5,,,1858,1858,,,,,6059,,2,1,0,,6,33486586,-117722056,,1,,,,1,34,266,,60590423.24,17686,1286,,96961,5,,1,6,,,,1973,2,TRUE,145291,825000,2015,679709,9553.5596,,,6.05904E+13
10805063,0.001,"Sunday, January 03, 2016",1,,,2,FALSE,2,,4,2,,,1045,1045,,,,,6037,,2,,,,2,34167800,-118522000,43599,1,,,,1,010E,266,LAR3,60371395.04,12447,3101,51906,96349,0,,,,1,,,1966,,,135218,250245,2015,115027,3117.1899,,,6.03714E+13
12524725,-0.0534,"Sunday, January 03, 2016",,,,3,FALSE,2,,4,3,,,1329,1329,,,,,6037,,3,,,,2,33780400,-118141000,8051,,,,,,010C,266,LBR4N,60375770.01,46298,3101,273567,96238,0,,,,1,,,1983,,,117504,215097,2015,97593,2648.96,,,6.03758E+13
11104966,-0.0398,"Sunday, January 03, 2016",,,,2,FALSE,4,,7,2,,,1144,1144,,,,,6037,,2,,,,2,34418208,-118468960,5633,1,,,,1,100,261,SCUR2,60379200.35,54311,3101,37739,96374,0,,,,1,,,1961,,,176891,335093,2015,158202,4499.0298,,,6.03792E+13
11624877,-0.0294,"Sunday, January 03, 2016",1,,,2,FALSE,2,,1,2,,,1422,1422,,,,,6037,,2,,,,2,34057040,-118403960,6391,,,,,,010C,266,LAR3,60372690,10389,3101,,96088,0,,,,1,,,1981,,,202000,673000,2015,471000,8048.1802,,,6.03727E+13
12440314,0.0208,"Sunday, January 03, 2016",,,,2,FALSE,3,,7,2,,,1631,1631,,,,,6037,,2,,,,7,33815676,-118098712,5646,1,,,,1,101,261,LBR1N,60375740,46298,3101,416320,96242,0,,,,1,,,1953,,,176825,334392,2015,157567,4128.5801,,,6.03757E+13
12037577,-0.0233,"Sunday, January 03, 2016",1,,,2,FALSE,3,,4,2,,,1782,1782,,,,,6037,,2,,,,2,34108080,-118278296,5999,,,,,,100,261,LAR1,60371952.02,12447,3101,274359,96008,0,,,,1,,,1927,,,139259,473801,2015,334542,5832.1899,,,6.0372E+13
11024002,0.0266,"Sunday, January 03, 2016",,,,3,FALSE,3,,7,3,,,1847,1847,,,,,6037,,3,,,,7,34249528,-118418104,7799,,,,,,100,261,LAR1,60371048.21,12447,3101,40215,96361,0,,,,1,,,1953,,,111929,325129,2015,213200,4172.0801,,,6.0371E+13
10777209,-0.0222,"Sunday, January 03, 2016",,,,1,FALSE,3,,7,1,,,1420,1420,,,,,6037,,1,,,,7,34207184,-118524992,9045,,,,,,100,261,LAR1,60371318,12447,3101,40548,96364,0,,,,1,,,1948,,,52254,261169,2015,208915,3398.7,,,6.03713E+13
14022628,-0.0274,"Sunday, January 03, 2016",,,,2,FALSE,4,,,2,,,1202,1202,,,,,6059,,2,2,400,,,33712676,-117877568,6500,1,,,,1,122,261,,60590740.05,47568,1286,268509,97007,8,,,,,,,1955,1,,62646,394474,2015,331828,6004.6201,,,6.05907E+13
14195954,-0.001,"Sunday, January 03, 2016",13,,,2,FALSE,4,,,2,,,2319,2319,,,,,6059,1,2,3,775,,,33898716,-117774464,9760,,,,,,122,261,,60590218.24,21412,1286,,97078,8,,,,,,,1979,1,,181956,584027,2015,402071,7186.5,,,6.05902E+13
12339438,0.0526,"Sunday, January 03, 2016",,,,1,FALSE,2,,7,1,,,640,640,,,,,6037,,1,,,,7,33905332,-118152448,4376,,,,,,100,261,PAR1YY,60375535.04,6395,3101,,96220,0,,,,1,,,1946,,,44834,182891,2015,138057,2481.3501,,,6.03755E+13
14022972,-0.0481,"Sunday, January 03, 2016",,,,2,FALSE,3,,,2,,,1431,1431,,,,,6059,,2,1,380,,,33713536,-117885968,6000,,,,,,122,261,,60590741.11,47568,1286,275738,97004,6,,,,,,,1965,1,,39774,62084,2015,22310,1047.38,,,6.05907E+13
11921507,0.0411,"Sunday, January 03, 2016",,,,3,FALSE,3,,4,3,,,2580,2580,,,,,6037,,3,,,,2,34137348,-118085376,31642,1,,,,1,101,261,PSR2,60374632,47019,3101,275426,96295,0,,,,1,,,1948,,,90352,143162,2015,52810,2108.01,,,6.03746E+13
14055759,0.0237,"Sunday, January 03, 2016",,,,2,FALSE,4,,,2,,,1540,1540,,,,,6059,1,2,2,440,,,33672512,-117977048,6441,,,,,,122,261,,60590992.46,25218,1286,,96964,7,,,,,,,1972,1,,44904,71436,2015,26532,1125.42,,,6.0591E+13
14337898,-0.006,"Sunday, January 03, 2016",,,,2.5,FALSE,3,,,2.5,,,1963,1963,,,,,6059,,2,2,482,,,33787440,-117768392,5000,,,,,,122,261,,60590756.05,33252,1286,,97067,0,,1,,,,,1987,,,183748,315989,2015,132241,4215.48,,,6.05908E+13
10984360,0.0411,"Sunday, January 03, 2016",,,,2,FALSE,4,,7,2,,,1150,1150,,,,,6037,,2,,,,2,34280212,-118407192,7552,,,,,,100,261,LAR1,60371042.03,12447,3101,40215,96361,0,,,,1,,,1956,,,101800,330000,2015,228200,4205.4302,,,6.0371E+13
11708989,-0.091,"Sunday, January 03, 2016",,,,1,FALSE,3,,7,1,,,1457,1457,,,,,6037,,1,,,,,34009264,-118313088,6358,,,,,,100,261,LAR1,60372315,12447,3101,118208,96043,0,,,,1,,,1912,,,28576,119375,2015,90799,3668.1399,,,6.03723E+13
14008449,0.045,"Sunday, January 03, 2016",,,,3,FALSE,4,,,3,,,2401,2401,,,,,6059,,3,2,440,,,33802796,-117970384,3464,,,,,,1,261,,60590880.02,24832,1286,,97048,0,,,,,,,2005,,,322700,526272,2015,203572,6517.7402,,,6.05909E+13
10812783,0.0402,"Sunday, January 03, 2016",1,,,4,TRUE,5,,4,4,,,3623,3623,,,,,6037,,4,,,,2,34156052,-118567664,14186,1,,,,1,101,261,LARE40,60371375.04,12447,3101,48570,96387,0,,,,1,,,1972,,,279000,1151000,2015,872000,15264.6504,,,6.03714E+13
14389517,0.045,"Sunday, January 03, 2016",13,,,5,TRUE,4,,,5,,,4537,4537,,,,,6059,,5,2,595,,,33588880,-117684800,14950,1,,,,1,122,261,,60590423.28,25458,1286,,96971,8,,,,,,,1980,2,,386620,961905,2015,575285,10009,,,6.05904E+13
11874881,-0.0367,"Sunday, January 03, 2016",,,,2,FALSE,3,,7,2,,,1250,1250,,,,,6037,,2,,,,2,34094940,-118180744,7513,,,,,,100,261,LAR1,60372013.02,12447,3101,114914,96013,0,,,,1,,,1955,,,55039,208692,2015,153653,5523.7998,,,6.0372E+13
12859348,-0.0408,"Sunday, January 03, 2016",,,,2,FALSE,4,,4,2,,,2054,2054,,,,,6037,,2,,,,2,33993440,-117819432,7763,1,,,,1,101,261,LCR18000,60374033.23,24384,3101,,96505,0,,,,1,,,1970,,,220413,300987,2015,80574,3754.8201,,,6.0374E+13
12885665,0.0159,"Sunday, January 03, 2016",,,,1,FALSE,3,,7,1,,,1164,1164,,,,,6037,,1,,,,7,34045912,-117771120,6981,1,,,,1,101,261,POR16000,60374030,20008,3101,,96506,0,,,,1,,,1947,,,49283,163936,2015,114653,2245.9299,,,6.0374E+13
12934834,0.006,"Sunday, January 03, 2016",1,,,3,FALSE,4,,4,3,,,2590,2590,,,,,6037,,3,,,,2,34068728,-117823312,13110,1,,,,1,100,261,SDSFH,60374013.03,33836,3101,,96513,0,,,,1,,,1988,,,326000,905100,2015,579100,10583.5498,,,6.0374E+13
14077187,-0.0171,"Sunday, January 03, 2016",,,,2,FALSE,3,,,2,,,1362,1362,,,,,6059,,2,2,462,,,33712716,-117939176,5100,,,,,,122,261,,60590992.29,8384,1286,,97008,7,,,,,,,1968,1,,87166,324796,2015,237630,3767.1399,,,6.0591E+13
14693306,0.0344,"Sunday, January 03, 2016",,,,2.5,FALSE,2,,,2.5,,,1381,1381,,,,,6059,,2,1,0,,,33881040,-117966472,,,,,,,34,266,,60591106.05,24812,1286,,97041,0,,1,,,,,1983,,,137169,221868,2015,84699,2706.6201,,,6.05911E+13
13892813,0.0639,"Sunday, January 03, 2016",,,,5.5,TRUE,5,,,5.5,,,5516,5516,,,,,6059,,5,3,753,TRUE,,33610428,-117901104,6591,,,1,,,122,261,,60590630.05,53571,1286,,96978,6,,1,,,,,1994,3,,1317184,5754844,2015,4437660,61668.8789,,,6.05906E+13
11510907,0.0639,"Sunday, January 03, 2016",,,,2,FALSE,2,,4,2,,,1137,1137,,,,,6037,,2,,,,2,33865272,-118397144,7965,,,,,,010C,266,HBR3YY,60376210.04,29712,3101,,96109,0,,,,1,,,1989,,,211236,450376,2015,239140,5034.9399,,,6.03762E+13
11519155,0.0573,"Sunday, January 03, 2016",,,,4,TRUE,5,,7,4,,,3088,,,3088,,,6037,,4,,,,,34022328,-118386704,5934,,,,,,200,246,CCR2YY,60377024,51617,3101,762187,96097,0,,,,2,,,1964,,,173092,548138,2015,375046,7931.1401,,,6.0377E+13
14365990,0.0276,"Sunday, January 03, 2016",13,,,2.5,FALSE,3,,,2.5,,,1808,1808,,,,,6059,,2,2,441,,,33657752,-117674984,5000,,,,,,122,261,,60590524.25,32380,1286,,96962,7,,1,,,,,1981,2,,140093,478656,2015,338563,5122.1401,,,6.05905E+13
11403600,-0.1497,"Sunday, January 03, 2016",,,,2,FALSE,2,,7,2,,,1084,1084,,,,,6037,,2,,,,7,33962616,-118360632,5005,,,,,,100,261,INR4,60376012.11,45888,3101,,96133,0,,,,1,,,1923,,,84730,129113,2015,44383,2054.3101,,,6.0376E+13
12086710,0.076,"Monday, January 04, 2016",1,,,2,FALSE,2,,4,2,,,991,991,,,,,6037,,2,,,,2,34139900,-118232000,29725,1,,,,1,010E,266,,60373021.02,45457,3101,275396,96324,0,,,,1,,,1974,,,82173,108255,2015,26082,1186.52,,,6.0373E+13
14030226,-0.0481,"Monday, January 04, 2016",,,,2,FALSE,4,,,2,,,1445,1445,,,,,6059,,2,2,440,,,33739360,-117960160,6000,,,,,,122,261,,60590992.23,34780,1286,,96990,7,,,,,,,1963,1,,41819,62165,2015,20346,1215.46,,,6.0591E+13
12701128,0.2119,"Monday, January 04, 2016",,,,3,FALSE,4,,4,3,,,2497,2497,,,,,6037,,3,,,,2,33720476,-118320256,11425,,,,,,100,261,LAR1,60372974,12447,3101,54300,96222,0,,,,1,,,1961,,,82926,442308,2015,359382,5819.3799,,,6.0373E+13
14632504,0.0109,"Monday, January 04, 2016",,,,2,FALSE,2,,,2,,,1110,1110,,,,,6059,,2,1,0,,,33647048,-117590608,,,,,,,34,266,,60590320.51,15554,1286,,96993,0,,,,,,,1989,,,125203,241654,2015,116451,3157.3,,,6.05903E+13
12932190,-0.001,"Monday, January 04, 2016",,,,2,FALSE,3,,4,2,,,1537,1537,,,,,6037,,2,,,,2,34081552,-117874512,8336,,,,,,100,261,CVR17500,60374036,24245,3101,,96474,0,,,,1,,,1960,,,87965,325361,2015,237396,4234.8198,,,6.0374E+13
14696295,0,"Monday, January 04, 2016",,,,2,FALSE,2,,,2,,,1344,1344,,,,,6059,,2,2,0,,,33842976,-117787960,,,,,,,34,266,,60590219.16,16764,1286,113455,97026,0,,,,,,,1979,,,133631,418161,2015,284530,4727.7798,,,6.05902E+13
11940440,-0.0576,"Monday, January 04, 2016",1,,,4,TRUE,3,,4,4,,,2044,2044,,,,,6037,,4,,,,2,34082400,-118254000,,,,,,,100,261,LARD2,60371973,12447,3101,268134,96007,0,,,,1,,,2015,,,233200,326018,2015,92818,4082.3201,,,
14674493,-0.0356,"Monday, January 04, 2016",,,,2.5,FALSE,2,,,2.5,,,1206,1206,,,,,6059,,2,2,0,,,33687328,-117744160,,,,,,,1,266,,60590524.18,52650,1286,403197,96952,0,,1,,,,,2010,,,175451,444915,2015,269464,7314.1001,,,6.05905E+13
17249897,0.0227,"Monday, January 04, 2016",,,,2.5,FALSE,2,,,2.5,,682,1591,1591,,,682,,6111,1,2,2,0,,,34270500,-118673000,,,,,,,1129,266,,61110083.04,27110,2061,,97116,4,,1,,,54,,1981,2,,177000,356000,2015,179000,4035.1599,,,6.11101E+13
10908638,0.001,"Monday, January 04, 2016",1,,,3,FALSE,3,,4,3,,,1302,1302,,,,,6037,,3,,,,2,34150900,-118379000,10634,,,,,,010C,266,LARD1.5,60371432,12447,3101,47880,96447,0,,,,1,,,1981,,,144179,270803,2015,126624,3394.54,,,6.03714E+13
10953535,-0.006,"Monday, January 04, 2016",,,,2,FALSE,3,,7,2,,,1426,1426,,,,,6037,,2,,,,7,34201840,-118319184,6603,1,,,,1,101,261,BUR1,60373101,396054,3101,,96436,0,,,,1,,,1951,,,72653,399435,2015,326782,4464.9702,,,6.03731E+13
14246533,-0.0253,"Monday, January 04, 2016",,,,2,FALSE,3,,,2,,,1973,1973,,,,,6059,,2,1,350,,,33770360,-117817768,9280,1,,,,1,122,261,,60590757.03,40081,1286,,97005,6,,,,,,,1954,1,,57046,81459,2015,24413,4109.3799,,,6.05908E+13
11267869,-0.0523,"Monday, January 04, 2016",1,,,2,FALSE,3,,7,2,,,2399,2399,,,,,6037,,2,,,,2,34641208,-118179200,109502,,,,,,100,261,LCA22,60379102.02,40227,3101,,97329,0,,,,1,,,1978,,,249987,312483,2015,62496,4050.1799,,,6.03791E+13
10746700,0.1467,"Monday, January 04, 2016",,,,2,FALSE,2,,7,2,,,1536,1536,,,,,6037,,2,,,,,34131576,-118811984,5709,,,,,,700,263,WVRR1-RPD1,60378003.26,41673,3101,,96384,0,,,,1,,,1975,,,59070,338316,2015,279246,3550.5601,,,6.0378E+13
12921680,0.0109,"Monday, January 04, 2016",1,,,2,FALSE,4,,4,2,,,2036,2036,,,,,6037,,2,,,,2,34082984,-117845056,14314,,,,,,100,261,LCA110000,60374013.04,24245,3101,,96475,0,,,,1,,,1974,,,97282,116431,2015,19149,7565.6001,,,6.0374E+13
17282027,0.0296,"Monday, January 04, 2016",,,,1.5,FALSE,3,,,1.5,,956,956,956,,,956,,6111,,1,1,360,,,34190784,-118866608,9840,,,,,,1111,261,,61110068,34278,2061,,96383,5,,1,,,364,,1962,1,,109228,168036,2015,58808,1851.24,,,6.11101E+13
14731078,-0.0387,"Monday, January 04, 2016",,,,3,FALSE,3,,,3,,,1694,1694,,,,,6059,,3,2,0,,,33661104,-117631840,,,,,,,34,266,,60590320.49,12773,1286,,96996,0,,,,,,,1999,,,190029,412815,2015,222786,4096.1201,,,6.05903E+13
13964033,0.004,"Monday, January 04, 2016",,,,2,FALSE,2,,,2,,,1324,1324,,,,,6059,,2,1,300,,,33746320,-117629024,8050,,,,,,122,261,,60590320.11,16389,1286,,96986,3,,,,,,,1928,2,,51198,371010,2015,319812,3839.1799,,,6.05903E+13
11523731,-0.0294,"Monday, January 04, 2016",1,,,3,FALSE,2,,4,3,,,1430,1430,,,,,6037,,3,,,,2,33971800,-118425000,27230,,,,,,010C,266,LAC2(PV),60372756.02,12447,3101,13327,96072,0,,,,1,,,2003,,,255000,709000,2015,454000,10977.7998,,,6.03728E+13
11427633,0.0296,"Monday, January 04, 2016",,,,2,FALSE,3,,7,2,,,1114,1114,,,,,6037,,2,,,,2,33926372,-118315320,5399,,,,,,100,261,HAR1YY,60376027,42150,3101,,96107,0,,,,1,,,1954,,,24612,49676,2015,25064,4586.8701,,,6.0376E+13
14042212,0.0667,"Monday, January 04, 2016",,,,2.5,FALSE,4,,,2.5,,,2357,2357,,,,,6059,,2,2,462,,,33729696,-118018320,6500,,,,,,122,261,,60590994.06,25218,1286,,96965,8,,1,,,,,1965,2,,73400,99777,2015,26377,1434.76,,,6.0591E+13
13980837,-0.0253,"Monday, January 04, 2016",,,,3,FALSE,4,,,3,,,2501,2501,,,,,6059,2,3,2,546,,,33631708,-117895944,10080,1,,,,1,122,261,,60590630.1,53571,1286,,96978,8,,,,,,,1961,1,,177329,1507867,2015,1330538,16414.5391,,,6.05906E+13
12533657,0.0276,"Monday, January 04, 2016",,,,2,FALSE,2,,4,2,,,937,937,,,,,6037,,2,,,,2,33783100,-118150000,58874,1,,,,1,010C,266,LBR2N,60375750.02,46298,3101,273252,96238,0,,,,1,,,1990,,,50164,175575,2015,125411,3424.0901,Y,13,6.03758E+13
14130954,0.0286,"Monday, January 04, 2016",,,,2,FALSE,3,,,2,,,1327,1327,,,,,6059,,2,2,453,,,33852028,-117950848,5625,,,,,,122,261,,60590867.01,16764,1286,274800,97020,6,,,,,,,1983,1,,140539,274991,2015,134452,3391.3999,,,6.05909E+13
14502204,0.0159,"Monday, January 04, 2016",,,,2.5,FALSE,3,,,2.5,,,1818,1818,,,,,6059,,2,2,471,,,33651264,-117613088,3906,,,,,,122,261,,60590320.48,15554,1286,,96993,0,,1,,,,,1993,,,187089,476443,2015,289354,7569.4199,,,6.05903E+13
12516077,0.0286,"Monday, January 04, 2016",,,,3,FALSE,3,,7,3,,,2026,2026,,,,,6037,,3,,,,2,33804180,-118120976,7531,,,,,,100,261,LBR1N,60375743,46298,3101,276606,96247,0,,,,1,,,1954,,,153588,517427,2015,363839,6300.6401,,,6.03757E+13
17158640,0.1142,"Monday, January 04, 2016",,,,2,FALSE,2,,,2,,1368,1368,1368,,,1368,,6111,1,2,2,0,,,34180560,-119233200,,,,,,,1129,266,,61110036.09,13150,2061,,97106,4,,,,,144,,1985,1,,228961,457922,2015,228961,5634.5601,,,6.111E+13
14733074,0.0334,"Monday, January 04, 2016",,,,2,FALSE,2,,,2,,,1506,1506,,,,,6059,,2,2,0,,,33586572,-117661264,,,,,,,34,266,,60590320.12,12773,1286,,96995,0,,,,,,,1980,,,154332,382516,2015,228184,4016.24,,,6.05903E+13
13077042,0.0402,"Monday, January 04, 2016",1,,,2,FALSE,4,,7,2,,,1770,1770,,,,,6037,,2,,,,2,34023900,-117813312,9210,1,,,,1,101,261,LCR18000,60374033.12,24384,3101,,96505,0,,,,1,,,1973,,,78598,101823,2015,23225,6549.9502,,,6.0374E+13
